Date,Price,Open,High,Low,Vol.,Change %,,,Predicted_Close
01/29/2025,"8,557.81","8,533.87","8,584.07","8,518.27",769.55M,0.28%,,,8428.584961
01/28/2025,"8,533.87","8,503.71","8,572.96","8,503.62",703.54M,0.35%,,,8401.65918
01/27/2025,"8,503.71","8,502.35","8,514.17","8,462.18",684.09M,0.02%,,,8405.920898
01/24/2025,"8,502.35","8,565.20","8,586.68","8,492.73",699.39M,-0.73%,,,8459.063477
01/23/2025,"8,565.20","8,545.13","8,572.51","8,532.07",1.03B,0.23%,,,8442.686523
01/22/2025,"8,545.13","8,548.29","8,584.73","8,527.79",992.84M,-0.04%,,,8444.842773
01/21/2025,"8,548.29","8,520.54","8,550.41","8,513.42",761.21M,0.33%,,,8421.352539
01/20/2025,"8,520.54","8,505.22","8,548.59","8,501.82",718.32M,0.18%,,,8400.083008
01/17/2025,"8,505.22","8,391.90","8,533.43","8,391.83",1.07B,1.35%,,,8293.24707
01/16/2025,"8,391.90","8,301.13","8,391.90","8,301.13",748.67M,1.09%,,,8203.904297
01/15/2025,"8,301.13","8,201.54","8,307.56","8,199.57",1.02B,1.21%,,,8117.655762
01/14/2025,"8,201.54","8,224.19","8,244.31","8,193.54",946.04M,-0.28%,,,8139.900879
01/13/2025,"8,224.19","8,248.49","8,254.00","8,192.31",895.89M,-0.29%,,,8168.063477
01/10/2025,"8,248.49","8,319.69","8,326.32","8,247.61",912.29M,-0.86%,,,8224.412109
01/09/2025,"8,319.69","8,251.03","8,322.59","8,243.15",822.70M,0.83%,,,8163.814941
01/08/2025,"8,251.03","8,245.28","8,267.38","8,189.50",899.62M,0.07%,,,8159.433594
01/07/2025,"8,245.28","8,249.66","8,251.79","8,190.50",741.25M,-0.05%,,,8162.012695
01/06/2025,"8,249.66","8,223.98","8,249.66","8,197.50",765.87M,0.31%,,,8143.96582
01/03/2025,"8,223.98","8,260.09","8,268.97","8,219.73",697.09M,-0.44%,,,8168.503906
01/02/2025,"8,260.09","8,173.02","8,270.60","8,160.60",422.20M,1.07%,,,8087.509766
12/31/2024,"8,173.02","8,121.01","8,180.38","8,096.65",203.36M,0.64%,,,8045.173828
12/30/2024,"8,121.01","8,149.78","8,149.78","8,094.88",325.04M,-0.35%,,,8069.837402
12/27/2024,"8,149.78","8,136.99","8,151.28","8,112.29",327.26M,0.16%,,,8055.089844
12/24/2024,"8,136.99","8,102.72","8,152.01","8,102.72",243.25M,0.42%,,,8021.967285
12/23/2024,"8,102.72","8,084.61","8,111.41","8,051.92",573.77M,0.22%,,,8006.963867
12/20/2024,"8,084.61","8,105.32","8,105.83","8,002.34",1.58B,-0.26%,,,8033.175781
12/19/2024,"8,105.32","8,199.11","8,199.11","8,078.98",797.75M,-1.14%,,,8114.092285
12/18/2024,"8,199.11","8,195.20","8,231.84","8,191.61",833.58M,0.05%,,,8116.53125
